seed,election_year,horizon_days,as_of,party,actual_seats,point_baseline_seats,mean_seats,median_seats,point_error,mean_error,median_error,crps,percentile,cov_50,width_50,cov_80,width_80,cov_90,width_90,p_largest,p_qualify,p_any_seats
24680,2018,28,2018-08-12,MP,16,19,19.35,20,3,3.35,4,2.1458,13.7,False,5,True,8,True,9,0.0,0.9782,0.9782
24680,2018,28,2018-08-12,SD,62,70,71.39,71,8,9.39,9,6.7588,0.8,False,7,False,12,False,15,0.0002,1.0,1.0
24680,2018,14,2018-08-26,M,70,67,67.42,69,3,2.58,1,1.3459,57.6,True,8,True,17,True,19,0.0,1.0,1.0
24680,2018,14,2018-08-26,L,20,20,20.45,20,0,0.45,0,0.7893,50.7,True,5,True,8,True,8,0.0,1.0,1.0
24680,2018,14,2018-08-26,C,31,32,32.62,33,1,1.62,2,0.9745,29.0,True,3,True,6,True,7,0.0,1.0,1.0
24680,2018,14,2018-08-26,KD,22,18,17.38,18,4,4.62,4,3.561,99.8,False,2,False,4,False,5,0.0,0.9862,0.9862
24680,2018,14,2018-08-26,S,100,93,93.14,92,7,6.86,8,4.8951,93.3,False,6,False,10,True,12,1.0,1.0,1.0
24680,2018,14,2018-08-26,V,28,33,32.66,33,5,4.66,5,3.191,5.5,False,5,False,7,True,8,0.0,1.0,1.0
24680,2018,14,2018-08-26,MP,16,19,17.99,19,3,1.99,3,1.5808,21.9,True,5,True,7,True,8,0.0,0.9552,0.9552
24680,2018,14,2018-08-26,SD,62,67,67.34,66,5,5.34,4,3.2084,4.3,False,6,False,10,True,13,0.0,1.0,1.0
24680,2018,7,2018-09-02,M,70,67,67.4,69,3,2.6,1,1.418,58.8,True,11,True,17,True,20,0.0,1.0,1.0
24680,2018,7,2018-09-02,L,20,20,20.11,20,0,0.11,0,0.79,54.0,True,5,True,7,True,9,0.0,1.0,1.0
24680,2018,7,2018-09-02,C,31,32,31.85,32,1,0.85,1,0.7158,39.3,True,4,True,6,True,7,0.0,1.0,1.0
24680,2018,7,2018-09-02,KD,22,20,19.75,20,2,2.25,2,1.4371,91.3,False,2,True,4,True,5,0.0,0.9998,0.9998
24680,2018,7,2018-09-02,S,100,94,95.33,94,6,4.67,6,3.1301,84.1,False,5,True,10,True,11,1.0,1.0,1.0
24680,2018,7,2018-09-02,V,28,32,31.85,33,4,3.85,5,2.4968,11.8,False,4,True,7,True,8,0.0,1.0,1.0
24680,2018,7,2018-09-02,MP,16,18,16.27,18,2,0.27,2,1.3177,31.0,True,5,True,21,True,22,0.0,0.8884,0.8884
24680,2018,7,2018-09-02,SD,62,66,66.42,65,4,4.42,3,2.3118,9.2,False,6,True,11,True,13,0.0,1.0,1.0
24680,2022,112,2022-05-22,M,68,80,78.38,79,12,10.38,11,6.6536,17.8,False,13,True,28,True,35,0.0008,1.0,1.0
24680,2022,112,2022-05-22,L,16,0,5.84,0,16,10.16,16,7.1406,76.6,True,16,True,18,True,19,0.0,0.3396,0.3396
24680,2022,112,2022-05-22,C,24,24,23.19,23,0,0.81,1,0.8865,59.4,True,5,True,9,True,11,0.0,0.992,0.992
24680,2022,112,2022-05-22,KD,19,22,21.55,22,3,2.55,3,1.6998,22.2,True,5,True,10,True,16,0.0,0.9572,0.9572
24680,2022,112,2022-05-22,S,107,122,118.78,119,15,11.78,12,7.3632,11.6,False,13,True,26,True,34,0.9978,1.0,1.0
24680,2022,112,2022-05-22,V,24,33,32.0,32,9,8.0,8,5.5408,3.3,False,6,False,12,False,14,0.0,1.0,1.0
24680,2022,112,2022-05-22,MP,18,0,2.4,0,18,15.6,18,13.5589,99.1,False,0,False,15,False,16,0.0,0.1526,0.1526
24680,2022,112,2022-05-22,SD,73,68,66.87,67,5,6.13,6,3.855,76.5,False,11,True,23,True,29,0.0014,1.0,1.0
24680,2022,84,2022-06-19,M,68,73,72.3,73,5,4.3,5,3.3233,27.4,True,12,True,24,True,30,0.0,1.0,1.0
24680,2022,84,2022-06-19,L,16,18,14.86,17,2,1.14,1,1.5148,36.1,True,5,True,22,True,23,0.0,0.7986,0.7986
24680,2022,84,2022-06-19,C,24,21,21.25,21,3,2.75,3,1.6275,81.3,False,4,True,7,True,9,0.0,0.9938,0.9938
24680,2022,84,2022-06-19,KD,19,22,22.24,22,3,3.24,3,2.0169,16.0,False,5,True,9,True,12,0.0,0.9776,0.9776
24680,2022,84,2022-06-19,S,107,118,117.57,117,11,10.57,10,6.6168,10.5,False,11,True,21,True,30,0.9998,1.0,1.0
24680,2022,84,2022-06-19,V,24,32,31.63,32,8,7.63,8,5.3063,2.6,False,6,False,11,False,14,0.0,1.0,1.0
24680,2022,84,2022-06-19,MP,18,0,4.57,0,18,13.43,18,10.1572,98.4,False,15,False,16,False,17,0.0,0.2912,0.2912
24680,2022,84,2022-06-19,SD,73,65,64.58,64,8,8.42,9,5.2338,85.8,False,11,True,19,True,26,0.0002,1.0,1.0
24680,2022,56,2022-07-17,M,68,70,70.75,72,2,2.75,4,2.7033,29.7,True,10,True,21,True,27,0.0,1.0,1.0
24680,2022,56,2022-07-17,L,16,19,18.42,19,3,2.42,3,1.7986,17.0,False,4,True,9,True,25,0.0,0.9422,0.9422
24680,2022,56,2022-07-17,C,24,21,21.58,21,3,2.42,3,1.4867,82.6,False,3,True,6,True,8,0.0,0.9992,0.9992
24680,2022,56,2022-07-17,KD,19,22,21.91,22,3,2.91,3,1.8226,15.3,False,4,True,8,True,10,0.0,0.989,0.989
24680,2022,56,2022-07-17,S,107,110,111.32,111,3,4.32,4,2.5133,23.7,True,8,True,15,True,21,1.0,1.0,1.0
