model,tier,target_year,seed,mask,parties,p_majority,certified_indicator,certified_coalition_seats,brier
CONTROL_pp_centered_noise,tier3_iso,2014,12345,211,M+L+S+MP+SD,1.0,1,290,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,212,C+S+MP+SD,1.0,1,209,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,213,M+C+S+MP+SD,1.0,1,293,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,214,L+C+S+MP+SD,1.0,1,228,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,215,M+L+C+S+MP+SD,1.0,1,312,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,216,KD+S+MP+SD,1.0,1,203,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,217,M+KD+S+MP+SD,1.0,1,287,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,218,L+KD+S+MP+SD,1.0,1,222,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,219,M+L+KD+S+MP+SD,1.0,1,306,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,220,C+KD+S+MP+SD,1.0,1,225,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,221,M+C+KD+S+MP+SD,1.0,1,309,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,222,L+C+KD+S+MP+SD,1.0,1,244,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,223,M+L+C+KD+S+MP+SD,1.0,1,328,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,224,V+MP+SD,0.0,0,95,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,225,M+V+MP+SD,0.6684,1,179,0.10995856000000001
CONTROL_pp_centered_noise,tier3_iso,2014,12345,226,L+V+MP+SD,0.0,0,114,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,227,M+L+V+MP+SD,1.0,1,198,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,228,C+V+MP+SD,0.0,0,117,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,229,M+C+V+MP+SD,1.0,1,201,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,230,L+C+V+MP+SD,0.0,0,136,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,231,M+L+C+V+MP+SD,1.0,1,220,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,232,KD+V+MP+SD,0.0,0,111,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,233,M+KD+V+MP+SD,1.0,1,195,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,234,L+KD+V+MP+SD,0.0,0,130,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,235,M+L+KD+V+MP+SD,1.0,1,214,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,236,C+KD+V+MP+SD,0.0,0,133,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,237,M+C+KD+V+MP+SD,1.0,1,217,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,238,L+C+KD+V+MP+SD,0.0,0,152,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,239,M+L+C+KD+V+MP+SD,1.0,1,236,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,240,S+V+MP+SD,1.0,1,208,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,241,M+S+V+MP+SD,1.0,1,292,0.0
