wave,survey_date,period,best_party_code_raw,best_party_raw,best_party,best_party_type,second_choice_code_raw,second_choice_raw,second_choice_party,second_choice_type,estimate_pct,margin_error_pp,value_status,source_table
2010M11,2010-11-01,2010-11,mp,MP,MP,parliamentary_party,kd,KD,KD,parliamentary_party,0.8,0.7,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,mp,MP,MP,parliamentary_party,l,L,L,parliamentary_party,4.5,1.8,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,mp,MP,MP,parliamentary_party,m,M,M,parliamentary_party,6.1,2.2,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,mp,MP,MP,parliamentary_party,mp,MP,MP,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,mp,MP,MP,parliamentary_party,s,S,S,parliamentary_party,37.4,4.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,mp,MP,MP,parliamentary_party,v,V,V,parliamentary_party,16.1,3.2,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,mp,MP,MP,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,10.5,3.1,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,mp,MP,MP,parliamentary_party,övr,övriga,OTHER,other_party,2.6,1.8,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,s,S,S,parliamentary_party,SD,SD,SD,parliamentary_party,2.0,0.8,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,s,S,S,parliamentary_party,c,C,C,parliamentary_party,2.1,0.7,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,s,S,S,parliamentary_party,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,22.9,2.1,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,s,S,S,parliamentary_party,kd,KD,KD,parliamentary_party,1.1,0.6,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,s,S,S,parliamentary_party,l,L,L,parliamentary_party,4.3,1.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,s,S,S,parliamentary_party,m,M,M,parliamentary_party,9.8,1.5,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,s,S,S,parliamentary_party,mp,MP,MP,parliamentary_party,32.8,2.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,s,S,S,parliamentary_party,s,S,S,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,s,S,S,parliamentary_party,v,V,V,parliamentary_party,12.9,1.6,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,s,S,S,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,11.5,1.7,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,s,S,S,parliamentary_party,övr,övriga,OTHER,other_party,0.6,0.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,v,V,V,parliamentary_party,SD,SD,SD,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,v,V,V,parliamentary_party,c,C,C,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,v,V,V,parliamentary_party,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,10.2,3.9,observed,ME/ME0201/ME0201D/Nastbastaparti190
