wave,survey_date,period,kon_code_raw,alder_code_raw,party_code_raw,party_raw,party,party_type,estimate_pct,margin_error_pp,value_status,source_table
2015M11,2015-11-01,2015-11,TOT,tot18+,kd,KD,KD,parliamentary_party,3.6,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2015M11,2015-11-01,2015-11,TOT,tot18+,l,L,L,parliamentary_party,5.9,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2015M11,2015-11-01,2015-11,TOT,tot18+,m,M,M,parliamentary_party,23.3,1.1,observed,ME/ME0201/ME0201B/Partisympati051
2015M11,2015-11-01,2015-11,TOT,tot18+,mp,MP,MP,parliamentary_party,6.2,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2015M11,2015-11-01,2015-11,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2015M11,2015-11-01,2015-11,TOT,tot18+,s,S,S,parliamentary_party,29.4,1.1,observed,ME/ME0201/ME0201B/Partisympati051
2015M11,2015-11-01,2015-11,TOT,tot18+,v,V,V,parliamentary_party,6.1,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2015M11,2015-11-01,2015-11,TOT,tot18+,övr,övriga,OTHER,other_party,1.8,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2016M05,2016-05-01,2016-05,TOT,tot18+,SD,SD,SD,parliamentary_party,16.4,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2016M05,2016-05-01,2016-05,TOT,tot18+,c,C,C,parliamentary_party,6.0,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2016M05,2016-05-01,2016-05,TOT,tot18+,kd,KD,KD,parliamentary_party,3.2,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2016M05,2016-05-01,2016-05,TOT,tot18+,l,L,L,parliamentary_party,5.9,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2016M05,2016-05-01,2016-05,TOT,tot18+,m,M,M,parliamentary_party,24.9,1.1,observed,ME/ME0201/ME0201B/Partisympati051
2016M05,2016-05-01,2016-05,TOT,tot18+,mp,MP,MP,parliamentary_party,4.7,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2016M05,2016-05-01,2016-05,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2016M05,2016-05-01,2016-05,TOT,tot18+,s,S,S,parliamentary_party,30.4,1.1,observed,ME/ME0201/ME0201B/Partisympati051
2016M05,2016-05-01,2016-05,TOT,tot18+,v,V,V,parliamentary_party,6.2,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2016M05,2016-05-01,2016-05,TOT,tot18+,övr,övriga,OTHER,other_party,2.3,0.5,observed,ME/ME0201/ME0201B/Partisympati051
