tier,target_year,horizon_days,seed,mask,parties,p_majority,certified_indicator,certified_coalition_seats,brier
tier3,2018,112,24680,21,M+C+S,1.0,1,201,0.0
tier3,2018,112,24680,22,L+C+S,0.01125,0,151,0.0001265625
tier3,2018,112,24680,23,M+L+C+S,1.0,1,221,0.0
tier3,2018,112,24680,24,KD+S,0.0,0,122,0.0
tier3,2018,112,24680,25,M+KD+S,0.64735,1,192,0.12436202250000002
tier3,2018,112,24680,26,L+KD+S,0.0,0,142,0.0
tier3,2018,112,24680,27,M+L+KD+S,0.95535,1,212,0.001993622499999997
tier3,2018,112,24680,28,C+KD+S,0.0,0,153,0.0
tier3,2018,112,24680,29,M+C+KD+S,1.0,1,223,0.0
tier3,2018,112,24680,30,L+C+KD+S,0.01305,0,173,0.00017030250000000003
tier3,2018,112,24680,31,M+L+C+KD+S,1.0,1,243,0.0
tier3,2018,112,24680,32,V,0.0,0,28,0.0
tier3,2018,112,24680,33,M+V,0.0,0,98,0.0
tier3,2018,112,24680,34,L+V,0.0,0,48,0.0
tier3,2018,112,24680,35,M+L+V,0.0,0,118,0.0
tier3,2018,112,24680,36,C+V,0.0,0,59,0.0
tier3,2018,112,24680,37,M+C+V,0.02065,0,129,0.0004264225000000001
tier3,2018,112,24680,38,L+C+V,0.0,0,79,0.0
tier3,2018,112,24680,39,M+L+C+V,0.19215,0,149,0.036921622499999994
tier3,2018,112,24680,40,KD+V,0.0,0,50,0.0
tier3,2018,112,24680,41,M+KD+V,0.0,0,120,0.0
tier3,2018,112,24680,42,L+KD+V,0.0,0,70,0.0
tier3,2018,112,24680,43,M+L+KD+V,0.0,0,140,0.0
tier3,2018,112,24680,44,C+KD+V,0.0,0,81,0.0
tier3,2018,112,24680,45,M+C+KD+V,0.0209,0,151,0.00043680999999999993
tier3,2018,112,24680,46,L+C+KD+V,0.0,0,101,0.0
tier3,2018,112,24680,47,M+L+C+KD+V,0.1971,0,171,0.03884841
tier3,2018,112,24680,48,S+V,0.0,0,128,0.0
tier3,2018,112,24680,49,M+S+V,0.99865,1,198,1.8224999999998983e-06
tier3,2018,112,24680,50,L+S+V,0.0,0,148,0.0
tier3,2018,112,24680,51,M+L+S+V,1.0,1,218,0.0
tier3,2018,112,24680,52,C+S+V,0.15545,0,159,0.024164702500000003
tier3,2018,112,24680,53,M+C+S+V,1.0,1,229,0.0
tier3,2018,112,24680,54,L+C+S+V,0.69365,1,179,0.09385032250000001
tier3,2018,112,24680,55,M+L+C+S+V,1.0,1,249,0.0
tier3,2018,112,24680,56,KD+S+V,0.0,0,150,0.0
tier3,2018,112,24680,57,M+KD+S+V,0.99865,1,220,1.8224999999998983e-06
tier3,2018,112,24680,58,L+KD+S+V,0.001,0,170,1e-06
tier3,2018,112,24680,59,M+L+KD+S+V,1.0,1,240,0.0
tier3,2018,112,24680,60,C+KD+S+V,0.1635,1,181,0.6997322500000001
tier3,2018,112,24680,61,M+C+KD+S+V,1.0,1,251,0.0
tier3,2018,112,24680,62,L+C+KD+S+V,0.6955,1,201,0.09272024999999999
tier3,2018,112,24680,63,M+L+C+KD+S+V,1.0,1,271,0.0
tier3,2018,112,24680,64,MP,0.0,0,16,0.0
tier3,2018,112,24680,65,M+MP,0.0,0,86,0.0
tier3,2018,112,24680,66,L+MP,0.0,0,36,0.0
tier3,2018,112,24680,67,M+L+MP,0.0,0,106,0.0
tier3,2018,112,24680,68,C+MP,0.0,0,47,0.0
tier3,2018,112,24680,69,M+C+MP,0.0,0,117,0.0
tier3,2018,112,24680,70,L+C+MP,0.0,0,67,0.0
tier3,2018,112,24680,71,M+L+C+MP,0.0,0,137,0.0
tier3,2018,112,24680,72,KD+MP,0.0,0,38,0.0
tier3,2018,112,24680,73,M+KD+MP,0.0,0,108,0.0
tier3,2018,112,24680,74,L+KD+MP,0.0,0,58,0.0
tier3,2018,112,24680,75,M+L+KD+MP,0.0,0,128,0.0
tier3,2018,112,24680,76,C+KD+MP,0.0,0,69,0.0
tier3,2018,112,24680,77,M+C+KD+MP,0.0,0,139,0.0
tier3,2018,112,24680,78,L+C+KD+MP,0.0,0,89,0.0
tier3,2018,112,24680,79,M+L+C+KD+MP,0.0,0,159,0.0
tier3,2018,112,24680,80,S+MP,0.0,0,116,0.0
tier3,2018,112,24680,81,M+S+MP,0.8957,1,186,0.010878489999999989
tier3,2018,112,24680,82,L+S+MP,0.0,0,136,0.0
tier3,2018,112,24680,83,M+L+S+MP,0.99845,1,206,2.402500000000159e-06
tier3,2018,112,24680,84,C+S+MP,0.0021,0,147,4.409999999999999e-06
tier3,2018,112,24680,85,M+C+S+MP,1.0,1,217,0.0
tier3,2018,112,24680,86,L+C+S+MP,0.177,0,167,0.031328999999999996
tier3,2018,112,24680,87,M+L+C+S+MP,1.0,1,237,0.0
tier3,2018,112,24680,88,KD+S+MP,0.0,0,138,0.0
tier3,2018,112,24680,89,M+KD+S+MP,0.90035,1,208,0.009930122500000003
tier3,2018,112,24680,90,L+KD+S+MP,0.0,0,158,0.0
tier3,2018,112,24680,91,M+L+KD+S+MP,0.99855,1,228,2.1024999999998587e-06
tier3,2018,112,24680,92,C+KD+S+MP,0.0021,0,169,4.409999999999999e-06
tier3,2018,112,24680,93,M+C+KD+S+MP,1.0,1,239,0.0
tier3,2018,112,24680,94,L+C+KD+S+MP,0.1815,1,189,0.66994225
tier3,2018,112,24680,95,M+L+C+KD+S+MP,1.0,1,259,0.0
tier3,2018,112,24680,96,V+MP,0.0,0,44,0.0
tier3,2018,112,24680,97,M+V+MP,0.0,0,114,0.0
tier3,2018,112,24680,98,L+V+MP,0.0,0,64,0.0
tier3,2018,112,24680,99,M+L+V+MP,0.00105,0,134,1.1024999999999998e-06
tier3,2018,112,24680,100,C+V+MP,0.0,0,75,0.0
tier3,2018,112,24680,101,M+C+V+MP,0.1447,0,145,0.02093809
tier3,2018,112,24680,102,L+C+V+MP,0.0,0,95,0.0
tier3,2018,112,24680,103,M+L+C+V+MP,0.56685,0,165,0.32131892249999994
tier3,2018,112,24680,104,KD+V+MP,0.0,0,66,0.0
tier3,2018,112,24680,105,M+KD+V+MP,0.0,0,136,0.0
tier3,2018,112,24680,106,L+KD+V+MP,0.0,0,86,0.0
tier3,2018,112,24680,107,M+L+KD+V+MP,0.00105,0,156,1.1024999999999998e-06
tier3,2018,112,24680,108,C+KD+V+MP,0.0,0,97,0.0
tier3,2018,112,24680,109,M+C+KD+V+MP,0.1452,0,167,0.021083039999999997
tier3,2018,112,24680,110,L+C+KD+V+MP,0.0,0,117,0.0
tier3,2018,112,24680,111,M+L+C+KD+V+MP,0.57425,1,187,0.18126306249999996
tier3,2018,112,24680,112,S+V+MP,0.0,0,144,0.0
tier3,2018,112,24680,113,M+S+V+MP,1.0,1,214,0.0
tier3,2018,112,24680,114,L+S+V+MP,0.04005,0,164,0.0016040025000000002
tier3,2018,112,24680,115,M+L+S+V+MP,1.0,1,234,0.0
tier3,2018,112,24680,116,C+S+V+MP,0.57375,1,175,0.18168906250000003
tier3,2018,112,24680,117,M+C+S+V+MP,1.0,1,245,0.0
tier3,2018,112,24680,118,L+C+S+V+MP,0.85795,1,195,0.020178202500000002
tier3,2018,112,24680,119,M+L+C+S+V+MP,1.0,1,265,0.0
tier3,2018,112,24680,120,KD+S+V+MP,0.0,0,166,0.0
tier3,2018,112,24680,121,M+KD+S+V+MP,1.0,1,236,0.0
