origin,party,bitwise_identical,crps_campaign_paths,crps_dynamics_v2
2024-04-02,L,True,0.03688497662068478,0.03688497662068478
2024-04-02,C,True,0.06675074213013157,0.06675074213013157
2024-04-02,KD,True,0.065705671680301,0.065705671680301
2024-04-02,S,True,0.3533718430392883,0.3533718430392883
2024-04-02,V,True,0.07230878269381838,0.07230878269381838
2024-04-02,MP,True,0.2822440945319091,0.2822440945319091
2024-04-02,SD,True,0.15321147639835686,0.15321147639835686
2024-04-16,M,True,0.22517721065750618,0.22517721065750618
2024-04-16,L,True,0.06063213068157272,0.06063213068157272
2024-04-16,C,True,0.12530481925418807,0.12530481925418807
2024-04-16,KD,True,0.12235628973628757,0.12235628973628757
2024-04-16,S,True,0.49682564901192017,0.49682564901192017
2024-04-16,V,True,0.19599047180534362,0.19599047180534362
2024-04-16,MP,True,0.37215652146619904,0.37215652146619904
2024-04-16,SD,True,0.14887949423691826,0.14887949423691826
2024-04-30,M,True,0.2921426929661274,0.2921426929661274
2024-04-30,L,True,0.039694259717589164,0.039694259717589164
2024-04-30,C,True,0.29448181843415583,0.29448181843415583
2024-04-30,KD,True,0.20391637892830838,0.20391637892830838
2024-04-30,S,True,0.7175438769197515,0.7175438769197515
2024-04-30,V,True,0.5476818659206274,0.5476818659206274
2024-04-30,MP,True,0.4438568781469044,0.4438568781469044
2024-04-30,SD,True,0.3564982226451873,0.3564982226451873
2024-05-14,M,True,0.18593357659354737,0.18593357659354737
2024-05-14,L,True,0.05986207436209963,0.05986207436209963
2024-05-14,C,True,0.38943322751710246,0.38943322751710246
2024-05-14,KD,True,0.11902443182170336,0.11902443182170336
2024-05-14,S,True,0.8785909621497812,0.8785909621497812
2024-05-14,V,True,0.7410333011840435,0.7410333011840435
2024-05-14,MP,True,0.43588190728943454,0.43588190728943454
2024-05-14,SD,True,0.507810846407719,0.507810846407719
2024-05-28,M,True,0.13863358131560577,0.13863358131560577
2024-05-28,L,True,0.06365785824395177,0.06365785824395177
2024-05-28,C,True,0.1217565044863586,0.1217565044863586
2024-05-28,KD,True,0.06696774351743617,0.06696774351743617
2024-05-28,S,True,0.18049730344470177,0.18049730344470177
2024-05-28,V,True,0.12226577407807479,0.12226577407807479
2024-05-28,MP,True,0.19025574431195436,0.19025574431195436
2024-05-28,SD,True,0.19120364222253894,0.19120364222253894
2024-06-11,M,True,0.1358012682201986,0.1358012682201986
2024-06-11,L,True,0.038519591615340354,0.038519591615340354
2024-06-11,C,True,0.046329166701334024,0.046329166701334024
2024-06-11,KD,True,0.04667743319366838,0.04667743319366838
2024-06-11,S,True,0.25422622622343305,0.25422622622343305
2024-06-11,V,True,0.11803129535866153,0.11803129535866153
2024-06-11,MP,True,0.12673455807944534,0.12673455807944534
2024-06-11,SD,True,0.15339000484503862,0.15339000484503862
2024-06-25,M,True,0.13641950656495772,0.13641950656495772
2024-06-25,L,True,0.06099935340108355,0.06099935340108355
2024-06-25,C,True,0.06501043921572325,0.06501043921572325
2024-06-25,KD,True,0.04535664617257454,0.04535664617257454
2024-06-25,S,True,0.16580151235449814,0.16580151235449814
2024-06-25,V,True,0.05912129810049602,0.05912129810049602
2024-06-25,MP,True,0.179920863450653,0.179920863450653
2024-06-25,SD,True,0.1981807923527129,0.1981807923527129
2024-07-09,M,True,0.18293566807768746,0.18293566807768746
2024-07-09,L,True,0.06511441777423006,0.06511441777423006
2024-07-09,C,True,0.06394546348652988,0.06394546348652988
2024-07-09,KD,True,0.12572920070821328,0.12572920070821328
2024-07-09,S,True,0.21650354134513367,0.21650354134513367
2024-07-09,V,True,0.1882180428818575,0.1882180428818575
2024-07-09,MP,True,0.06944195174218545,0.06944195174218545
2024-07-09,SD,True,0.13834902651222963,0.13834902651222963
2024-07-23,M,True,0.16113966457699147,0.16113966457699147
2024-07-23,L,True,0.06262768891809989,0.06262768891809989
2024-07-23,C,True,0.1184532890844067,0.1184532890844067
2024-07-23,KD,True,0.0702175448621386,0.0702175448621386
2024-07-23,S,True,0.3128995491205353,0.3128995491205353
2024-07-23,V,True,0.26177416474408366,0.26177416474408366
2024-07-23,MP,True,0.08940671916648815,0.08940671916648815
2024-07-23,SD,True,0.1347238540846845,0.1347238540846845
2024-08-06,M,True,0.1426296690731455,0.1426296690731455
2024-08-06,L,True,0.040330549116619,0.040330549116619
2024-08-06,C,True,0.12006797848281531,0.12006797848281531
2024-08-06,KD,True,0.04458254561421879,0.04458254561421879
2024-08-06,S,True,0.19520685161167106,0.19520685161167106
2024-08-06,V,True,0.26577997340695525,0.26577997340695525
2024-08-06,MP,True,0.08895503996327106,0.08895503996327106
2024-08-06,SD,True,0.1397536606115598,0.1397536606115598
2024-08-20,M,True,0.13425803302584477,0.13425803302584477
2024-08-20,L,True,0.06484345511418568,0.06484345511418568
2024-08-20,C,True,0.12003530276235781,0.12003530276235781
2024-08-20,KD,True,0.0659363808944523,0.0659363808944523
2024-08-20,S,True,0.17943378156830386,0.17943378156830386
2024-08-20,V,True,0.26477974611296756,0.26477974611296756
2024-08-20,MP,True,0.08222769269154911,0.08222769269154911
2024-08-20,SD,True,0.16400250458162036,0.16400250458162036
2024-09-03,M,True,0.1873027481253562,0.1873027481253562
2024-09-03,L,True,0.03958566706166025,0.03958566706166025
2024-09-03,C,True,0.06495998537402578,0.06495998537402578
2024-09-03,KD,True,0.1139558178320762,0.1139558178320762
2024-09-03,S,True,0.17437170396119328,0.17437170396119328
2024-09-03,V,True,0.2636033085995753,0.2636033085995753
2024-09-03,MP,True,0.08608479870956393,0.08608479870956393
2024-09-03,SD,True,0.2141472483539385,0.2141472483539385
2024-09-17,M,True,0.13708960682483484,0.13708960682483484
2024-09-17,L,True,0.037700519640658084,0.037700519640658084
2024-09-17,C,True,0.04157312946107963,0.04157312946107963
2024-09-17,KD,True,0.046409645579876424,0.046409645579876424
2024-09-17,S,True,0.22844175096330943,0.22844175096330943
2024-09-17,V,True,0.12388839306547861,0.12388839306547861
2024-09-17,MP,True,0.12817995665743998,0.12817995665743998
2024-09-17,SD,True,0.20313107973021693,0.20313107973021693
2024-10-01,M,True,0.16051504891403456,0.16051504891403456
2024-10-01,L,True,0.037806546527248436,0.037806546527248436
2024-10-01,C,True,0.04275397987426699,0.04275397987426699
2024-10-01,KD,True,0.06252185493808882,0.06252185493808882
2024-10-01,S,True,0.20009936189596522,0.20009936189596522
2024-10-01,V,True,0.1274323338871035,0.1274323338871035
2024-10-01,MP,True,0.12700892586788118,0.12700892586788118
2024-10-01,SD,True,0.2021610873395424,0.2021610873395424
2024-10-15,M,True,0.13688929424683566,0.13688929424683566
2024-10-15,L,True,0.03963060708444402,0.03963060708444402
2024-10-15,C,True,0.06852092781863103,0.06852092781863103
2024-10-15,KD,True,0.04467830730250963,0.04467830730250963
2024-10-15,S,True,0.17699459961208547,0.17699459961208547
2024-10-15,V,True,0.11782854606001492,0.11782854606001492
2024-10-15,MP,True,0.07798254581110153,0.07798254581110153
