model,horizon_days,party,cases,mean_crps,coverage_50,coverage_90,mean_width_50,mean_width_90
frozen_state,10,L,399,0.066165,0.092732,0.092732,0.0,0.0
frozen_state,10,M,399,0.144862,0.087719,0.087719,0.0,0.0
frozen_state,10,MP,399,0.078195,0.140351,0.140351,0.0,0.0
frozen_state,10,S,399,0.218045,0.092732,0.092732,0.0,0.0
frozen_state,10,SD,399,0.169173,0.080201,0.080201,0.0,0.0
frozen_state,10,V,399,0.096491,0.137845,0.137845,0.0,0.0
frozen_state,11,C,399,0.09198,0.130326,0.130326,0.0,0.0
frozen_state,11,KD,399,0.109273,0.095238,0.095238,0.0,0.0
frozen_state,11,L,399,0.07218,0.090226,0.090226,0.0,0.0
frozen_state,11,M,399,0.154637,0.072682,0.072682,0.0,0.0
frozen_state,11,MP,399,0.083459,0.140351,0.140351,0.0,0.0
frozen_state,11,S,399,0.242356,0.087719,0.087719,0.0,0.0
frozen_state,11,SD,399,0.185464,0.087719,0.087719,0.0,0.0
frozen_state,11,V,399,0.104762,0.12782,0.12782,0.0,0.0
independent_walk,1,C,399,0.009388,0.919799,0.919799,0.003056,0.12222
independent_walk,1,KD,399,0.013665,0.867168,0.877193,0.002331,0.12012
independent_walk,1,L,399,0.009359,0.912281,0.912281,0.001454,0.033726
independent_walk,1,M,399,0.018414,0.837093,0.877193,0.011597,0.192739
independent_walk,1,MP,399,0.010066,0.902256,0.902256,0.002074,0.046994
independent_walk,1,S,399,0.033249,0.719298,0.849624,0.018098,0.212462
independent_walk,1,SD,399,0.02312,0.776942,0.942356,0.011411,0.207655
independent_walk,1,V,399,0.015451,0.867168,0.897243,0.003899,0.164322
independent_walk,2,C,399,0.019774,0.807018,0.854637,0.007156,0.165458
independent_walk,2,KD,399,0.023332,0.759398,0.907268,0.005338,0.219198
independent_walk,2,L,399,0.017979,0.824561,0.839599,0.003232,0.133445
independent_walk,2,M,399,0.03221,0.691729,0.937343,0.033052,0.215443
independent_walk,2,MP,399,0.017848,0.824561,0.899749,0.004757,0.198343
independent_walk,2,S,399,0.048664,0.556391,0.922306,0.050185,0.245916
independent_walk,2,SD,399,0.037719,0.634085,0.947368,0.029294,0.232609
independent_walk,2,V,399,0.024109,0.774436,0.927318,0.009024,0.215597
independent_walk,3,C,399,0.026627,0.721805,0.822055,0.011303,0.183595
independent_walk,3,KD,399,0.031496,0.681704,0.929825,0.008259,0.263696
independent_walk,3,L,399,0.023762,0.754386,0.794486,0.004764,0.160862
independent_walk,3,M,399,0.042946,0.566416,0.934837,0.078497,0.255307
independent_walk,3,MP,399,0.025546,0.729323,0.897243,0.007049,0.218414
independent_walk,3,S,399,0.06466,0.423559,0.85213,0.110231,0.32314
independent_walk,3,SD,399,0.049876,0.521303,0.889724,0.064409,0.269909
independent_walk,3,V,399,0.032547,0.669173,0.954887,0.01384,0.231653
independent_walk,4,C,399,0.034332,0.631579,0.822055,0.017144,0.199626
independent_walk,4,KD,399,0.039299,0.609023,0.919799,0.01247,0.285334
independent_walk,4,L,399,0.029586,0.686717,0.781955,0.006604,0.180422
independent_walk,4,M,399,0.054527,0.466165,0.902256,0.134875,0.342099
independent_walk,4,MP,399,0.029644,0.686717,0.894737,0.009766,0.22836
independent_walk,4,S,399,0.079937,0.338346,0.844612,0.15251,0.39372
independent_walk,4,SD,399,0.06156,0.408521,0.859649,0.148283,0.36255
independent_walk,4,V,399,0.040417,0.558897,0.957393,0.02037,0.247472
independent_walk,5,C,399,0.039054,0.558897,0.849624,0.027151,0.216208
independent_walk,5,KD,399,0.04622,0.546366,0.934837,0.02447,0.298406
independent_walk,5,L,399,0.034463,0.639098,0.746867,0.008892,0.195414
independent_walk,5,M,399,0.063675,0.406015,0.877193,0.153422,0.37852
independent_walk,5,MP,399,0.034767,0.629073,0.887218,0.013265,0.236636
independent_walk,5,S,399,0.094001,0.360902,0.81203,0.171206,0.434255
independent_walk,5,SD,399,0.075633,0.338346,0.882206,0.170558,0.405524
independent_walk,5,V,399,0.047414,0.506266,0.924812,0.030025,0.269098
independent_walk,6,C,399,0.044541,0.488722,0.862155,0.059389,0.235597
independent_walk,6,KD,399,0.053418,0.481203,0.919799,0.073669,0.310383
independent_walk,6,L,399,0.038073,0.598997,0.746867,0.012176,0.206651
independent_walk,6,M,399,0.073728,0.328321,0.864662,0.164768,0.404819
independent_walk,6,MP,399,0.040601,0.553885,0.889724,0.018219,0.245485
independent_walk,6,S,399,0.10796,0.443609,0.796992,0.185107,0.473443
independent_walk,6,SD,399,0.084436,0.343358,0.87218,0.181635,0.431413
independent_walk,6,V,399,0.052474,0.47619,0.894737,0.058318,0.312825
independent_walk,7,C,399,0.051726,0.423559,0.874687,0.09691,0.263209
