election_date,election_year,origin_date,horizon_days,variant,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,inside_50,inside_80,inside_90,width_50,width_80,width_90,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,training_elections_count,training_elections
2018-09-09,2018,2018-06-17,84,pp_bias_only,SD,True,17.534,22.0804,19.2371,19.8714,20.9797,22.0304,23.0543,24.466,25.196,0.0,4.4964,3.599055,False,False,False,2.0746,4.5946,5.959,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_only,REST,False,1.5307,2.3849,1.8505,1.9634,2.1558,2.3655,2.5887,2.8195,2.9849,0.4,0.8348,0.663393,False,False,False,0.433,0.8561,1.1344,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_noise_only,M,True,19.8356,20.5144,16.1807,16.8702,18.8734,20.5925,22.3404,23.5438,24.6419,38.76,0.7569,0.693705,True,True,True,3.467,6.6736,8.4612,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_noise_only,L,True,5.4896,4.8971,3.5905,3.7767,4.1817,4.7555,5.6033,6.2209,6.5018,72.08,0.7341,0.411221,True,True,True,1.4216,2.4442,2.9114,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_noise_only,C,True,8.6077,9.4132,7.478,7.9581,8.6122,9.3722,10.1383,10.888,11.4812,24.84,0.7645,0.467994,False,True,True,1.5262,2.93,4.0032,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_noise_only,KD,True,6.3223,3.0026,2.3102,2.4526,2.7143,3.012,3.2974,3.5296,3.6592,100.0,3.3103,3.087098,False,False,False,0.5831,1.077,1.349,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_noise_only,S,True,28.261,25.0774,22.6231,23.1099,23.9317,24.96,26.1157,27.3303,28.0332,96.68,3.301,2.307969,False,False,False,2.184,4.2204,5.4101,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_noise_only,V,True,8.0049,9.1783,7.7302,8.0126,8.5569,9.2294,9.8049,10.2497,10.5227,9.86,1.2245,0.751929,False,False,True,1.248,2.2372,2.7925,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_noise_only,MP,True,4.4143,4.4103,3.1084,3.2987,3.7362,4.4599,5.0548,5.4513,5.6691,48.62,0.0457,0.226791,True,True,True,1.3186,2.1526,2.5607,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_noise_only,SD,True,17.534,20.691,17.4959,18.2214,19.3462,20.5885,22.0373,23.2649,23.8942,5.36,3.0545,2.115454,False,False,True,2.6911,5.0435,6.3983,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_noise_only,REST,False,1.5307,2.8157,2.1273,2.2687,2.4953,2.8034,3.1139,3.3716,3.5471,0.04,1.2727,1.036103,False,False,False,0.6187,1.1029,1.4198,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_plus_noise,M,True,19.8356,20.3125,15.9788,16.6683,18.6715,20.3906,22.1385,23.3419,24.44,41.82,0.555,0.65456,True,True,True,3.467,6.6736,8.4612,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_plus_noise,L,True,5.4896,4.5542,3.2476,3.4338,3.8388,4.4126,5.2604,5.878,6.1589,81.16,1.077,0.594343,False,True,True,1.4216,2.4442,2.9114,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
