tier,case,metric,five_seed_mean,five_seed_sd,relative_sd_pct,n_seeds
tier2,2018_h28,crps_8party_mean,1.0596802339481735,0.0009905253794507125,0.09347398844651442,5
tier2,2018_h28,crps_all9_mean,1.0380558909369804,0.0010379715992898009,0.09999187985464796,5
tier2,2018_h28,coverage_50,0.22222222222222224,0.0,0.0,5
tier2,2018_h28,coverage_80,0.4444444444444445,0.0,0.0,5
tier2,2018_h28,coverage_90,0.4444444444444445,0.0,0.0,5
tier2,2018_h28,mean_width_50,1.3461122811268882,0.010740967948929005,0.7979251136418785,5
tier2,2018_h28,mean_width_80,2.399682780545915,0.005143800742176603,0.21435336303102595,5
tier2,2018_h28,mean_width_90,2.890087937046507,0.004659271059692917,0.16121554641878497,5
tier2,2018_h28,mean_lambda,1.0,0.0,0.0,5
tier2,2018_h14,es_9cat,2.693278044923024,0.0032747933548320936,0.12159135819657602,5
tier2,2018_h14,es_8party,2.602007132190655,0.0029943084006620892,0.11507687137433602,5
tier2,2018_h14,crps_8party_mean,0.7165986974417619,0.0009420145846483368,0.13145636295618507,5
tier2,2018_h14,crps_all9_mean,0.7125172284497727,0.0009587817497978493,0.13456260585921206,5
tier2,2018_h14,coverage_50,0.3333333333333333,0.0,0.0,5
tier2,2018_h14,coverage_80,0.4444444444444445,0.0,0.0,5
tier2,2018_h14,coverage_90,0.6666666666666666,0.0,0.0,5
tier2,2018_h14,mean_width_50,1.2825145609707143,0.031170717584990255,2.4304377145938716,5
tier2,2018_h14,mean_width_80,2.2400421872582905,0.002591313439418318,0.11568145699032426,5
tier2,2018_h14,mean_width_90,2.608975120250481,0.004557749643719644,0.17469502136463708,5
tier2,2018_h14,mean_lambda,1.0,0.0,0.0,5
tier2,2018_h7,es_9cat,2.0231483180286425,0.0017376416265308127,0.08588799995760926,5
tier2,2018_h7,es_8party,1.9530428155813209,0.001535599934047084,0.07862602508230289,5
tier2,2018_h7,crps_8party_mean,0.5090389607278449,0.00048292125136900486,0.09486921210873606,5
tier2,2018_h7,crps_all9_mean,0.5063339701045092,0.0005530959736037156,0.10923540711470624,5
tier2,2018_h7,coverage_50,0.4444444444444445,0.0,0.0,5
tier2,2018_h7,coverage_80,0.7777777777777778,0.0,0.0,5
tier2,2018_h7,coverage_90,0.7777777777777778,0.0,0.0,5
tier2,2018_h7,mean_width_50,1.3167382960586704,0.07701725679926816,5.84909370600067,5
